马铃薯	bhê2 lêng1 ze5
草粿	cao2 guê2
警察	gêng6 cag4
公厕	gong1 cê3
虾卷	hê5 geng2
身份证	sing1 hung7 zêng3
番薯藤ki6	huêng1 ze5 ding5 ki6
橄榄ki6	gan1 na2 ki6
茶ki6	dê5 ki6
尿桶sang5	riê7 tang2 sang5
齿sang5	ki2 sang5
茶sang5	dê5 sang5
花规	huê1 gui1
溢	êg8
㳨	zuah4
水墘	zui2 gin5
凤鸟髻	hong6 zieu2 guê3
橐囊	têh4 nê2
挑䉔	tiê1 cuan1
黄芪	ng5 ki5
牛肉丸	ghu5 nêg8 in5
擐锅	guan6 uê1
赤脚	ciah4 ka1
鞋dên1	oi5 dên1
烧碱	siê1 giem2
碱水	gin1 zui2
擂钵	lui5 buah4
㾀	kiab4
鸡头米	goi1 tao5 bhi2
朥投	la5 dao5
䜰䜮	ga1 lo5
隧道	sui7 dao6
直播卖货	dig8 bua3 bhoi7 huê3
刷单	suêh4 duan1
主播	zu2 bua3
锲囝	goih4 gian2
弯钩镰	uêng1 gao1 liêm5
镰刀	liêm5 do1
风筛	huang1 tai1
小局	siê2 gêg8
小kiêng3	siou2 kiêng3
平板	pêng5 bang2
徛扇	kia6 sin3
吊扇	dieu3 sin3
风扇箬	huang1 sin3  hah4
生疏	cên1 so1
陌生	mêg8 sên1
青分人	cên1 hung7 nang5
陌生人	mêg8 sên1 nang5
国公倒厝	gog4 gong1 do2 cu3
鸲鸪鸟	gu3 gu1 zieu2
姑嫂鸟	gou1 so2 zieu2
一pa1/pao1	zêg8 pa1
头手	tao5 ciu2
头次	tao5 ce3
头鼎	tao5 dian2
头砧	tao5 diem1
砧板	diem1 bang2
头水紫菜	tao5 zui2 zi2 cai3
头水	tao5 zui2
劝息	keng3 sêg4
落单	loh8 duan1
通风透气	tong1 huang1 tao3 ki3
无网络	bho5 mang6 log8
棉被	min5 puê6
恶做	oh4 zo3
无生理	bho5 sêng1 li2
竞争	gêng6 zên1
租金	zou1 gim1
店铺	diem3 pou3
铺面	pou3 ming7
堵塞	du2 sag4
交通拥堵	gao1 tong1 ong1 du2
货车	huê3 cia1
三轮车	san1 lung5 cia1
贴膜	dah4 moh8
小食	siou2 ziah8
卖鞋	bhoi7 oi5
卫生	uê6 sên1
收费	siu1 hui3
就业	ziu6 ngieb8
地摊经济	di7 tuan1 gêng1 zi3
城管	sian5 guêng2
摆地摊	bai2 di7 tuan1
劝释	keng3 sêg4
蜡蔗	lah8 zia3
蔗粕	zia3 poh4
死绝bhuang5hou6	si2 zoh8 bhuang5 hou6
huang5头死绝	huang5 tao5 si2 zoh8
卵gog4诈腰痀	lang6 gog4 dên3 iê1 gu1
鼻卓卓	pin7 dog4 dog4
同牵	dang5 kang1
莶橄榄	hiêm1 gan1 na2
金橄榄	gim1 gan1 na2
此搭囝	zi2 dah4 gian2
位次	ui7 ce3
驳杂	bag4 zab8
人参	ring5 siem1
ba1lag4	ba1 lag4
䋎	tin7
鸡髻	goi1 guê3
㖹哱乞牛听	bung5 bu5 keg4 ghu5 tian1
㖹bu5	bung5 bu5
然	riêng5
搋开	ti2 kui1
畏喙	uin3 cui3
畏喙	uin3 cui3
正庄	zian3 zeng1
一亿	zêg8 êg8
一千	zêg8 coin1
一万	zêg8 bhuêng7
一粒	zêg8 lieb8
一粒鱼	zêg8 lieb8 he5
粒	lieb8
主	zu2
kiang2糖	kiang2 teng5
牙膏壳换糖	ghê5 go1 kag4 uan7 teng5
钩敲糖	gao1 ka3 teng5
横骹理逆	huên5 ka1 li2 gêh8
摸一下	mo1 zêg8 ê7
摸摸	mo1
冒	mao6
nam6nio6	nam6 nio6
gaoh4	gaoh4
gaoh4	gaoh4
金公	gim1 gong1
民族	ming5 zog8
少数民族	ziê2 sieu3 ming5 zog8
头cih4cih4	tao5 cih4 cih4
沕头泅	bhih4 tao5 siu5
损失	sung2 sig4
祭祀	zi3 se6
缅怀	miêng2 huai5
致敬	di3 gêng3
追思	dui1 se1
默哀	mig8 ai1
孙囝	sung1 gian2
规矩	gui1 ge2
煞是	sua3 si6
煞	sua3
煞是	sua3 si6
原情	nguêng5 zian5
塞	sag4
櫼	zin1
饲猪	ci7 de1
迷宫	mi5 gêng1
嫲	ma2
𡚸	bhou6
卤	lou2
盐	sin7
伏卵	bu7 neng6
桐坑	tang5 kên1
着病	diêh4 bên7
着瘟	diêh4 ung1
手指	ciu2 zi2
把	bê2
捕杀	bu6 suah4
野生动物	ia2 sên1 dong6 muêh8
基本	gi1 bung2
本位	bung2 ui7
卌	sieb4
未开学	bhuê7 kui1 hag8
未来	bhuê7 lai5
未好	bhuê7 ho2
未食	bhuê7 ziah8
未成年	bhuê7 sêng5 ni5
不祥	bug4 siang5
不过	bug4 guê3
不过	bug4 guê3
卅	sab4
廿	riab8
专地	zuêng1 di7
夫子	hu1 ze2
夫人	hu1 ring5
二家	ri7 gê1
康复	kang1 hog8
救治	giu3 di7
救助	giu3 zo6
慰问	uê3 mung7
体温计	ti2 ung1 goi3
消毒	sieu1 dag8
挂口罩	gua3 kao2 zao6
